tree_id,species,age_years,dbh_cm,db_cm,dm_cm,dt_cm,total_height_m,merch_height_m,bole_height_m,crown_diameter_m,crown_length_m,crown_projection_area_m2,crown_ratio,basal_area_m2,total_volume_m3,merch_volume_m3,agb_kg,natural_form_factor
87,Tectona_grandis,30,51.3,68.0,34.0,30.0,40.6,16.8,16.5,10.9,23.8,0.009332525500000001,0.5862068965517241,0.20671924949999998,24.875214,10.293192000000001,3522.5749064731467,2.963874924478187
88,Tectona_grandis,30,45.0,67.5,30.0,24.0,22.8,17.8,17.5,5.4,5.0,0.002290518,0.21929824561403508,0.15906374999999998,12.626127,9.8572395,3077.463321964115,3.481481481481482
89,Tectona_grandis,30,46.0,70.0,37.0,24.0,28.7,16.5,16.2,7.5,12.2,0.0044184375,0.4250871080139373,0.16621179999999997,18.185372333333333,10.455005,3257.7992624516496,3.812224322621299
90,Tectona_grandis,30,42.4,57.0,28.0,23.0,26.6,12.2,11.9,5.9,14.4,0.0027343255,0.5413533834586466,0.141214048,13.372352000000003,6.133184,2462.06732805693,3.55998576005696
91,Tectona_grandis,30,54.0,75.0,37.0,26.0,33.0,16.6,16.3,6.0,16.4,0.0028277999999999997,0.49696969696969695,0.2290518,21.514845,10.822619000000001,4075.051414185924,2.846364883401921
92,Tectona_grandis,30,55.00000000000001,77.1,34.0,24.0,25.8,16.6,16.3,7.1,9.2,0.0039597055,0.3565891472868217,0.23761375000000007,16.0168163,10.305393433333334,4262.025539170859,2.6126721763085388
93,Tectona_grandis,30,48.1,63.0,33.0,25.0,31.04,14.7,14.34,7.2,16.4,0.004072032,0.5283505154639175,0.18173406549999999,17.880074666666665,8.46769,3070.3434648801494,3.1696497392963088
94,Tectona_grandis,30,45.0,55.2,32.0,24.0,28.2,16.2,15.899999999999999,5.78,12.0,0.00262422982,0.425531914893617,0.15906374999999998,15.2990264,8.7888024,2528.860908990593,3.410699588477367
95,Tectona_grandis,30,41.4,54.9,23.0,15.0,23.0,13.0,12.7,8.2,10.0,0.005281701999999999,0.43478260869565216,0.13463155799999998,9.749887833333332,5.510806166666666,2318.8461276334615,3.1486537997775135
96,Tectona_grandis,30,38.5,67.1,20.0,15.0,21.5,13.0,12.7,6.8,8.5,0.0036321519999999996,0.3953488372093023,0.1164307375,9.125284416666666,5.517613833333333,2627.5309573587206,3.645358970034294
97,Tectona_grandis,30,32.2,55.2,21.0,12.0,21.0,17.2,16.9,6.7,3.8,0.0035261094999999997,0.18095238095238095,0.081443782,8.313732,6.8093424,1824.1345136043517,4.86092357547934
